Course,Title,Distribution Group,Analyzing Diversity,Credits,Description
ITAL 264,SECOND YEAR ITALIAN II,Distribution Group I,,3,"Continuation of ITAL 263. Development of interactional competence in Italian (sociolinguistic and socio cultural knowledge) to communicate and interact with speakers of Italian. The course is based on a student-centered, critical-thinking approach to language analysis/acquisition."
ITAL 301,THIRD YEAR ITALIAN I,Distribution Group I,,3,A continuation of ITAL 264. This course helps students develop an ADVANCED level of proficiency in Italian through the analysis and use of the target language in the context of specific topics of interest that will vary.
ITAL 302,THIRD YEAR ITALIAN II,Distribution Group I,,3,A continuation of ITAL 301. This course helps students develop an ADVANCED level of proficiency in Italian through the analysis and use of the target language in the context of specific topics of interest that will vary.
JAPA 263,SECOND YEAR JAPANESE I,Distribution Group I,,3,"Continuation of JAPA 142. Development of interactional competence in Japanese (sociolinguistic and socio cultural knowledge) to communicate and interact with speakers of Japanese. The course is based on a student-centered, critical-thinking approach to language analysis/acquisition."
JAPA 264,SECOND YEAR JAPANESE II,Distribution Group I,,3,"Continuation of JAPA 263. Development of interactional competence in Japanese (sociolinguistic and socio cultural knowledge) to communicate and interact with speakers of Japanese. The course is based on a student-centered, critical-thinking approach to language analysis/acquisition."
JAPA 301,THIRD YEAR JAPANESE I,Distribution Group I,,3,Continuation of JAPA 264. Emphasis on developing reading and writing ability as more authentic materials and soci-cultural topics are introduced.
JAPA 302,THIRD YEAR JAPANESE II,Distribution Group I,,3,Continuation of JAPA 301. Emphasis on developing reading and writing ability as more authentic materials and socio-cultural topics are introduced.
JWST 130,ANTI-SEMITISM AND ISLAMOPHOBIA,Distribution Group I,,3,"In a world saturated with competing narratives about anti-Semitism and Islamophobia, it can be hard to sort facts from fiction. Often, it's difficult to even understand what we're talking about. Where do these forms of discrimination come from? Are they about race? Religion? Ethnicity? Perhaps something else entirely? In this course, we'll address these questions using a variety of disciplines and by looking at a range of sources, from literature and films to works of philosophy and political theory. We'll turn our attention back to medieval Spain and move all the way through contemporary debates about the Holocaust, the State of Israel, and the War on Terror. By the end, students will have a rich knowledge of the various forms these ideas have taken, how and why they are intrinsically related to one another, and how they have evolved in the present. If you’re interested in understanding more about our current world and how it came to be, this class will build a strong foundation for engaging in historically informed critical dialogue on today's pressing social issues."
JWST 201,GREAT BOOKS OF JEWISH CULTURE,Distribution Group I,,3,"The Jewish people have often understood themselves as the “people of the book,” because of the Jewish tradition’s reliance on texts and textual study as a central component of religious culture and practice. This course will take the idea of the book as a starting point for a survey of Jewish history and culture. Spanning the biblical period to the present, we will read primary texts important to Jewish life and culture as well as scholarship from disciplines as varied as religion, history, anthropology, sociology, comparative literature, philosophy, and gender and sexuality studies. In doing so, we will learn about the varied communities that produced these texts; the languages they spoke and read; their particular religious and cultural practices; and how they have understood themselves in the context of other social and political communities over time, including in the ancient, medieval, and modern eras."
JWST 224,RACE AND RELIGION,Distribution Group I,,3,"There is no shortage of critical engagement with the idea of race and its role in shaping modern history and politics. Rarely, however, do we think about religion as an important part of that story. Economics, public policy, history, literature, and science have all developed various perspectives on this question, but religion is often left aside in these conversations. This course looks closely at the intersection of race and religion and the ways these two ideas have been deeply entangled in the modern and even ancient worlds. We will ask whether it makes sense to talk about race in antiquity and the Middle Ages, prior to its scientific invention; we will explore the links between race and Christianity; and we will interrogate how various groups, including Jews, Muslims, and Black people understood themselves within the discourses of race and religion. By examining these two ideas in relation to one another, this course offers a richer understanding of the history and evolution of racial ideas and their continued resonance in the present."
JWST 230,TRANSCULTURAL COMICS,Distribution Group I,,3,"This course offers a diverse survey of comics and graphic novels from the early days of comics to present graphic novels. We will examine the role transculturalism played in the history of comics, and still plays in present developments in the medium. Our exploration of the genesis of comics will focus on the centrality of Jewish-American figures in this “golden age.” Our investigation of current developments will look back at the influence of the civil rights-, women rights-, and LGBTQ rights movements on the development of 1970s underground comix, and the traces of underground comix in the diversity of 21st century graphic novels. We will address themes as immigration and assimilation, race and ethnicity, sexuality and gender, trauma and memory. An overarching theme will be the inherent hybridity of the medium, and how it serves narratives related to small or disenfranchised communities and offers their authors a unique form of expression."
JWST 317,JEWISH GRAPHIC NOVEL,Distribution Group I,,3,"This course will examine contemporary works that combine image and text to depict Jewish history, culture, community, and identity in the form of the graphic novel."
KORE 206,ACCEL 2ND YEAR KOREAN,Distribution Group I,,3,"Alternate second year Korean for students who have some background in the language, especially heritage students. This is an intensive course covering the equivalents of KORE 263 and 264."
KORE 263,SECOND YEAR KOREAN I,Distribution Group I,,3,"Continuation of KORE 142. Development of interactional competence in Korean (sociolinguistic and socio cultural knowledge) to communicate and interact with speakers of Korean. The course is based on a student-centered, critical-thinking approach to language analysis/acquisition."
KORE 264,SECOND YEAR KOREAN II,Distribution Group I,,3,"Continuation of KORE 263. Development of interactional competence in Korean (sociolinguistic and socio cultural knowledge) to communicate and interact with speakers of Korean. The course is based on a student-centered, critical-thinking approach to language analysis/acquisition."
KORE 301,THIRD YEAR KOREAN I,Distribution Group I,,3,Continuation of KORE 264. Emphasis on developing reading and writing ability as more authentic materials and socio-cultural topics are introduced.
KORE 302,THIRD YEAR KOREAN II,Distribution Group I,,3,Continuation of KORE 301. Emphasis on developing reading and writing ability as more authentic materials and socio-cultural topics are introduced.
KORE 321,KOREAN SOCIETY AND CULTURE,Distribution Group I,,3,"The course is designed to foster a nuanced understanding of how Korean historical events, linguistic uniqueness, regional variations, and societal values have interplayed to mold contemporary Korean society. By examining the evolution of literature, media, and language, students will discern a variety of changing facets of Korean culture across different regions. With a combination of interactive exercises and collaborative projects, students will progressively build their proficiency and critical discussion skills in Korean."
KORE 330,KOREAN IN ACTION,Distribution Group I,,3,"This course, part of the Rice in Korea program, focuses on developing advanced conversational competence in Korean through immersive experiences uniquely available in Korea. Students will engage in pragmatic and conversational tasks that leverage the local context, including interactions with host families, shopkeepers, local students, and language consultants affiliated with the host institute. These experiences will offer opportunities to practice interactions using varied speech registers and culturally informed language practices, such as relative honorifics, while navigating societal role differences."
KORE 332,COLLOQUIAL KOREAN THRU VISUALS,Distribution Group I,,3,"This advanced Korean language course enhances students' conversational competence through the analysis of a wide variety of visual media, including films and webtoons, with a focus on authentic language use, pragmatics, and digital literacy. By exploring genres such as drama, comedy, action, thriller, romance, and historical works, students gain a nuanced understanding of language use in various social and communicative contexts."
LALX 158,INTRO LATIN AMERICAN STUDIES,Distribution Group I,,3,"This course immerses students into Caribbean and Latin American studies by introducing them to the history, society, politics, and culture of the region, through a cross-disciplinary and a multi-national approach. Taught in English. Open to all students. Previously offered as SPAN 158 and LASR 158. Credit cannot be earned for LALX 158 if a student has previously taken SPAN 158 or LASR 158."
LALX 230,INTRO TO LATINX LITERATURE,Distribution Group I,Analyzing Diversity Course,3,"This multi-genre course works to define the contours of Latinx literature by surveying texts drawn primarily from Mexican, Puerto Rican, Dominican, and Cuban migrations to the US. In addition to addressing the historical and socio-political conditions that frame the Latinx experience, the course broadly outlines the development of Latinx studies and the formation of its literary canon."
LALX 251,BRAZIL: CONTINUITY & CHANGE,Distribution Group I,,3,"An exploration of themes essential to understanding modern Brazil, such as the origins of a multi-racial society, the transition from monoculture to industry, authoritarian and democratic trends, the emergence of a uniquely Brazilian culture, and the conflicts - environmental, political, and economic - over the development of the Amazon."
LALX 263,LATINX LAB,Distribution Group I,,3,"The Latinx Research and Writing Lab surveys current research topics and methods in fields expressly focused on U.S. Latinx communities. The Latinx Lab support students who are interested in the actual conversion of research into a research paper, poster, or some multi-media format."
LALX 265,LAT. AMER. GENDER & SEXUALITY,Distribution Group I,,3,"This interdisciplinary course provides students with a comprehensive overview of gender and sexuality in Latin America. Latin American gender and sexual identities are often represented as hyper-normative, heterosexual, violent, and strictly binary. While these stereotypes bear some truth, they are far from representative of the rich heterogeneity of the region and its relationship to non-normative gender constructs and sexual expressions. In this class we will analyze the progression of gender and sexuality in in the region from pre-Columbian expressions to present-day manifestations of queer (cuir) Latinidades."
LALX 332,U.S. LATINE MENTAL HEALTH,Distribution Group I,Analyzing Diversity Course,3,"Examines literary depictions of mental health issues in the U.S. Latine community through critical close-reading of current fiction and non-fiction by modern-day authors of the genre. The course guides students in literary interpretation, reflection, analysis, and critique, focusing on themes connected to mental health and the U.S. Latine community."
LALX 350,"PIRATES, REBELS, NARCOS",Distribution Group I,Analyzing Diversity Course,3,"The outlaw is a central figure in the political-cultural imagination on Latin America. Through a study of popular culture and literature, this course provides a critical exploration of this figure: from pirates and runaway slaves in colonial times, to nineteenth century bandits, and more recently guerrillas and narcos. Taught in English. Formerly offered as LASR 350."
LALX 378,LATIN AM. POLITICAL THOUGHT,Distribution Group I,,3,"This course gives students an overview of the main thinkers, currents, concepts, and topics in Latin American and Latinx political thought. It is organized around three modules that address central topics: identity & transculturation; liberation; and modernity. Taught in English. Counts toward the minor in PLST. Formerly offered as LASR 378."
LALX 390,TECH CULTURE & SOC IN LATIN AM,Distribution Group I,,3,"What is the role of technology in helping Latin America articulate a post-neoliberal future? This course examines the past, present, and future of the relation between technology and society in Latin America, focusing on contemporary efforts in popular culture and media to syncretize old and new forms of knowledge and techno-social production. Taught in English. Formerly offered as LASR 390."
LATI 201,INTERMEDIATE LATIN I: PROSE,Distribution Group I,,3,Review of grammar and readings in Latin prose.
LATI 202,INTERMEDIATE LATIN II,Distribution Group I,,3,Readings in Virgil. LATI 202 and MDEM 212 are mutually exclusive with LATI 210. Credit cannot be earned for LATI 202 or MDEM 212 if a student has previously taken LATI 210.
LATI 301,CICERO AND SALLUST,Distribution Group I,,3,The course will read selections from Cicero and Sallust on the Catilinarian Conspiracy. Close attention will be given to the authors' style and to their rhetorical and historiographical methods. We will also examine the events of the conspiracy and the political culture of the late Roman Republic.
LATI 306,OVID'S METAMORPHOSES,Distribution Group I,,3,Readings in Ovid's Metamorphoses. Repeatable for Credit.
LATI 309,CLASSICS/EUROPEAN RENAISSANCE,Distribution Group I,,3,"This course explores the Renaissance reception of classical culture; it offers a comparative study of ancient and early modern cultures and literatures. Readings are conducted in both Latin and English. Authors include Cicero, Lucretius, Ovid, Augustine, Petrarch, Shakespeare, Kepler, and Galileo."
LATI 312,LATIN LOVE ELEGY,Distribution Group I,,3,"We will study the genre of Latin love elegy by reading selected poems of its three major exponents (Propertius, Tibullus, and Ovid), its founding figures (Catullus and Gallus), and other minor poets (Lygdamus and Sulpicia)."
LATI 316,READINGS IN VIRGIL'S AENEID,Distribution Group I,,3,"Advanced study of Virgil's great Roman epic. Areas of interest will include Virgil's poetic technique, the history of ancient epic, and Roman politics and society, particularly in the Augustan Age. Since different books of the Aeneid will be read in different semesters, the course is repeatable for credit. Repeatable for Credit."
LATI 350,TRANSLATING LATIN LITERATURE,Distribution Group I,,3,A thorough examination of the art of translating Latin Literature. Students will survey ancient and modern theories of translation; study a range of translations of select Latin texts; and produce their own translations of prose and verse Latin originals. Taught in English.
LING 336,INTRO TO INDO-EUROPEAN,Distribution Group I,,3,"This course will begin with a brief survey of the Indo-European languages, followed by a detailed reconstruction of Proto-Indo-European phonology, morphology, and syntax. The second half of the course will deal with Indo-European culture, laws, society and poetics, together with a consideration of advanced topics in the individual branches."
MDEM 103,INTRO TO JEWISH MYSTICISM,Distribution Group I,,3,"Surveys the historical development and central themes of Jewish mysticism. From the bible to ancient mysticism to medieval Kabbalah to modern expressions, we will critically reflection the ideas such as divine presence in the world, the cultivation of insight and magical powers, contemplative and restorative practices, and charismatic authority."
MDEM 111,INTRO TO HIST OF ART I,Distribution Group I,,3,A global survey of art and architecture from antiquity through the 12th century CE.
MDEM 120,MEDIEVAL CIVILIZATIONS,Distribution Group I,Analyzing Diversity Course,3,"Focusing on the period between 300-1500 CE, the course will survey political institutions, society, and culture in medieval European, Byzantine, and Islamic civilizations. Topics include Christianization of Europe, the rise of Islam, the Crusades, scholastic theology, persecution of heretics, bubonic plague, and the rise of centralized monarchies."
MDEM 205,MEDIEVAL MEDITERRANEAN WORLD,Distribution Group I,Analyzing Diversity Course,3,"Course examines the political, institutional, military, and cultural development of the societies that successively dominated the ""Middle Sea"" from AD 500-1500 in Europe and the Islamic World. It highlights the Mediterranean legacy of commercial, cultural, and religious exchange and coexistence, as well as its history of confrontation and warfare."
MDEM 210,MEDIEVAL VIOLENCE,Distribution Group I,,3,"Discussion course looks at private and large-scale warfare during the European Middle Ages. It considers how violence was legitimized and carried out, and examines attitudes towards violence and its effects on society. Topics include theoretical approaches to violence, crusading, chivalry, Truce of God, rituals of violence, military technologies, and cinematic portrayals of medieval warfare."
MDEM 211,INTERMEDIATE LATIN I: PROSE,Distribution Group I,,3,Review of grammar and readings in Latin prose.
MDEM 212,INTERMEDIATE LATIN II,Distribution Group I,,3,Readings in Virgil. LATI 202 and MDEM 212 are mutually exclusive with LATI 210. Credit cannot be earned for LATI 202 or MDEM 212 if a student has previously taken LATI 210.
MDEM 222,MEDIEVAL AND RENAISSANCE ERAS,Distribution Group I,,3,"Introduction to the study of Western music history, with emphasis on music before 1600. Score reading ability required."
MDEM 230,EARLY MEDIEVAL,Distribution Group I,,3,"This course is an introductory approach to the art of the medieval world from the rise of Christian art in the third century to the crystallization of the medieval artistic traditions in the tenth century. The focus will be on the development of distinctive artistic forms, contents and functions not only in Western Europe but also in the Byzantine world of the Christian eastern Mediterranean and the early Islamic Empires. We will also look to the Silk Empire as well. Many forms of artistic expression will be considered, with special attention to architecture, monumental painting and sculpture, book illumination, and work in precious metals. The chief purpose of this course is to help you develop a language with which to speak about and intelligently discuss early medieval art. To that end, each assignment, from the readings to the graded group discussions, is preparing you to write compellingly and accurately about not only medieval visual objects but visual objects in general. Formerly offered as HART 330. Students cannot receive credit for HART 230 if the student has previously taken HART 330."
MDEM 231,LATER MEDIEVAL,Distribution Group I,,3,"This course will follow the development of art and architecture of Gothic Europe and the neighboring Byzantine and Islamic cultures from the twelfth century to the fourteenth. Although the focus of this class is later medieval art, we will often refer to earlier periods in order to analyze artistic change. We will investigate the media associated with European, Byzantine, and Islamic artistic production, such as architecture, sculpture, mosaics, painting, stained glass, and manuscript illumination. In addition to examining the visual elements of these different creations, we will also discuss their socio-political context. The chief purpose of this course is to help you develop a language with which to speak about and intelligently discuss late medieval art. To that end, each assignment, from the readings to the written assignments, is preparing you to write compellingly and accurately about not only medieval visual objects but also visual objects in general."
MDEM 271,MEDIEVAL POPULAR CHRISTIANITY,Distribution Group I,,3,"For much of the Middle Ages, literacy was a luxury that ordinary people could not afford. How could peasants participate in Christian traditions? Course surveys devotional practices engaged by the laity, including penance, pilgrimage, plays, charms and spells, as well as traditions of lay interaction with dead saints and ghosts."
MDEM 281,GOLDEN AGE OF ISLAM,Distribution Group I,,3,"Introduction to the Islamic World from the 8th century to the 13th century. Topics include conquests and classical Islamic states, Arabization, Jewish and Christian communities, impact of Turkic peoples, and the Ottoman Empire, with emphasis on social, cultural, artistic, and scientific trends that shaped the region's history."
MDEM 316,CHAUCER,Distribution Group I,,3,"An introduction to Geoffrey Chaucer's The Canterbury Tales, Middle English, and the political and cultural climate of the fourteenth century."
MDEM 317,ARTHURIAN LITERATURE,Distribution Group I,,3,"A survey of the origins and development of the Arthurian legend from the earliest chronicles in the sixth century and later medieval French, Welsh, Irish, and English Arthurian poems to modern adaptations of Arthurian material, including films."
MDEM 323,BUDDHIST & DAOIST ART & RITUAL,Distribution Group I,,3,"This course examines key themes of art and ritual in Daoism and Buddhism. From southern Asia to China, commonalities and contrasts appear in cosmology, art, ritual, and soteriology. This team-taught course combines expertise in Daoist art, Chinese art history, and Buddhist traditions of India, Nepal, and Tibet. Distribution 1 credit effective Fall 2022."
MDEM 324,COEXISTENCE IN MEDIEVAL SPAIN,Distribution Group I,Analyzing Diversity Course,3,"Course explores the history of the Iberian Peninsula from late Antiquity to the early 16th century, focusing on coexistence and conflict between medieval Spain's three religious communities - Christians, Jews, and Muslims."
MDEM 327,MEDIEVAL BORDERLANDS,Distribution Group I,Analyzing Diversity Course,3,"Courses examines the military, political, social and cultural developments on the European frontiers between 500-1500 AD. Topics include colonization and conquest, crusades and Spanish Reconquista, piracy, slavery, encounters with native peoples, spread of Christianity, medieval colonial regimes, map-making and cultural exchanges."
MDEM 340,NORTHERN RENAISSANCE ART,Distribution Group I,,3,Study of art in northern Europe from Jan van Eyck to Peter Bruegel.
MDEM 343,MASTERS OF THE BAROQUE ERA,Distribution Group I,,3,"Study of the works of the greatest painters and sculptors in Europe during the Baroque period. Includes Rembrandt, Rubens, Caravaggio, Poussin, Claude, and Velazquez."
MDEM 357,JEWS & CHRISTIANS-MEDIEVAL EUR,Distribution Group I,Analyzing Diversity Course,3,"Course will focus on Jewish-Christian coexistence in medieval Europe. Will examine the Jews' legal status in Christendom, their communal life, economic activities, intellectual achievements, while also focusing on the complex dynamics of Jewish-Christian interaction, and the shifting patterns of persecution and acceptance."
MDEM 373,CHINESE ART AND THE WORLD,Distribution Group I,Analyzing Diversity Course,3,"This course is an introductory seminar studying the history of traditional Chinese art and visual culture from ancient times to the nineteenth century. This course draws upon masterpieces and monuments from both archaeological finds and museum collections, including bronze vessels, funeral objects, painting, calligraphy, sculptures, architecture, ceramics, and so on. Designed for students who have no background in Chinese art, Chinese history, or art history, the seminar uses diverse teaching materials in multiple media beyond traditional textbook-based readings to achieve four main goals: 1) Develop visual literacy through a direct encounter with objects. The development of specialized vocabulary to describe, analyze, and communicate function, composition, and meaning in art. 2) Understand major artistic movements of art and architecture within historical, social, political contexts. 3) Develop specialized knowledge in art from specific geographical locations (e.g. China), time periods, artists or artistic movements. 4) Evaluate and use primary and secondary source materials."
MDEM 375,CLASSICAL CHINESE NOVELS,Distribution Group I,,3,"Examination of the basic characteristics of classical Chinese novels, primarily through six important works from the 16th to 18th centuries: Water Margin, Monkey, Golden Lotus, Scholars, Romance of the Three Kingdoms, and Dream of the Red Chamber. All readings in English translation."
MDEM 377,MEDIEVAL MANUSCRIPTS,Distribution Group I,,3,"This seminar explores illuminated European manuscripts from late antiquity through the early sixteenth century. It examines manuscripts’ functions, patrons, makers, and materials and technique, as well as such issues as the relationship between text and image and the manuscript’s ideological stance. Students have the opportunity to study original medieval illuminations."
MDHM 142,THE COLORS OF LIFE,Distribution Group I,,3,"This course explores lived experience through emotion and color, both in life and at the end of life. The class promotes the accessibility of humanistic themes among STEM-oriented learners in ways that are especially relevant and compelling for students planning to enter into the medical or healthcare professions, or who, one day, will serve as caregivers."
MDHM 201,INTRO TO MEDICAL HUMANITIES,Distribution Group I,Analyzing Diversity Course,3,"Examines the history of medicine, concepts of disease vs illness, narrative medicine, health disparities, religion, spirituality, and the role of science and technology on the practices of healthcare. Students will develop skills in close reading, interpretation, historical contextualization, critical thinking. This course (formerly HURC 201) is required for the minor in Medical Humanities. Mutually Exclusive with HURC 201. Credit cannot be earned for both HURC 201 and MDHM 201."
MDHM 216,A HISTORY OF MEDICINE IN CHINA,Distribution Group I,,3,"What defines a legitimate doctor, and what qualifies as medicine? This course examines the history of medicine in China, focusing on patient-practitioner relationships and drug culture. We will discuss both learned practices, such as herbal medicine and acupuncture, and more unconventional aspects, like quackery and ritual healing. Beyond standard pharmaceutical objects, we will also investigate the roles of food, poisons, and incense in Chinese drug culture. This course aims to broaden your understanding of “medicine” by presenting it in a broader cultural context and exploring how various elements have shaped historical and contemporary practices."
MDHM 272,LITERATURE AND MEDICINE,Distribution Group I,Analyzing Diversity Course,3,"Designed for, but not limited to, students interested in the medical profession, this course introduces the study of medicine through reading imaginative literature--novels, plays, essays, poems--by and about doctors and patients, focusing on understanding ethical issues and on developing critical and interpretive skills."
MDHM 335,MEDICINE AND THE MUSEUM,Distribution Group I,,3,"Through weekly visits to the Museum of Fine Arts, Houston, this class develops key skills and engages relevant themes relating to medicine and caregiving, including observation and description, embodiment and motion, eros and suffering, vulnerable populations, grief and loss, human mortality and spiritual transcendence."
MDHM 359,RESPONSIBLE AI FOR HEALTH,Distribution Group I,,3,"This interdisciplinary course explores how artificial intelligence, machine learning, and related tools are poised to transform healthcare – for better and for worse. Examines the latest uses of these tools in clinical healthcare settings, in public health, and in day-to-day wellness apps. Considers the social, cultural and ethical issues related to the development and application of AI for health. Explores the ways that technology can have unintended consequences that reproduce existing health disparities, especially racial and intersectional health disparities. This course will count as an elective in MDHM minor, the STSM minor, and the ENGL major. It may count as an elective for the DSCI minor (contact the program advisor)."
MDIA 201,HISTORY OF CINEMA AND MEDIA I,Distribution Group I,,3,"This seminar will introduce students to the history of cinema from its inception to 1945 by considering individual cinematic artifacts in their technological, economic, aesthetic, political, and social contexts."
MDIA 202,HISTORY OF CINEMA AND MEDIA II,Distribution Group I,,3,"Introduction to major movements, practices and theories of film and media from 1945 to present. Formerly offered as, and mutually exclusive with, CMST 202. Students who have earned credit for CMST 202 cannot earn credit for MDIA 202."
MDIA 203,FILM AND MEDIA ANALYSIS,Distribution Group I,,3,"This course introduces students to the fundamental principles of film analysis. We will focus on the visual and narrative organization of film and moving images; examine the evolution of film form in specific historical contexts; and work on developing critical and interpretative skills for understanding, and writing about, cinema. Formerly offered as, and mutually exclusive with, CMST 203. Students who have earned credit for CMST 203 cannot earn credit for MDIA 203."
MDIA 204,INTRODUCTION TO MEDIA STUDIES,Distribution Group I,,3,"Our world is saturated with media. But what does that mean for us? This course explores the study of media in two ways. First, it introduces students to a range of theoretical perspectives on the role of media within society. Second, it guides students through the analysis of different forms of media, including social, broadcast, print, journalistic, and digital. This course pays special attention to how dynamics of class, race, gender, and generation affect media’s production and consumption. By the end of the semester, students will have developed a more comprehensive and deeper understanding of how media shape our lives. Formerly offered as, and mutually exclusive with, CMST 204. Students who have earned credit for CMST 204 cannot earn credit for MDIA 204."
MUSI 117,FUNDAMENTALS OF MUSIC I,Distribution Group I,,3,"For non-music majors with minimal music preparation. Rudiments of pitch and duration. Study of scales, chord structure, tonality, and forms."
MUSI 125,TOPICS IN MUS THEORY NONMAJORS,Distribution Group I,,3,"This is an umbrella listing for a small number of special topics courses offered to non-music majors. Each one will be a special topic that focuses on a different aspect of music. Each course will have its own syllabus, which will be uploaded when appropriate."
MUSI 220,SURVEY OF WORLD MUSIC,Distribution Group I,,3,"Traditional, popular and classical musical styles from around the world will be explored for their sonic qualities as well as from an ethno musicological perspective, i.e., in terms of the musics' interaction with cultural elements such as cosmology, social structure, art, language, economics and politics."
MUSI 221,"MUSIC, MAGIC, AND SCIENCE",Distribution Group I,,3,"Modern science, as a privileged domain of knowledge of the world and of ourselves, has profoundly affected almost every aspect of our lives. This class will take a historical perspective on the relationship between science and modernity with a particular focus on music—a topic which has puzzled philosophers for millennia, and one which poses special problems for the modes of knowledge that characterize scientific modernity. Is music a “universal language”? Why does music so powerfully affect our emotions? Why are some sounds pleasing and others are not? Our goal in this class is to explore what scientific approaches to these questions can tell us about the place of science in the modern world—as well as how and why science has become so important to our imagining of ourselves as thinking, feeling, and willing beings. Armed with this historical knowledge, we will also read recent examples of popular science writing on sound and music a way to think about how we can we become better consumers of scientific knowledge as it is disseminated in the public sphere. Graduate/Undergraduate Equivalency: MUSI 530."
MUSI 222,MEDIEVAL AND RENAISSANCE ERAS,Distribution Group I,,3,"Introduction to the study of Western music history, with emphasis on music before 1600. Score reading ability required."
MUSI 223,MONSTERS AND BARDS,Distribution Group I,,3,"Discussion course examines artistic representations of monsters and bards: cultural icons that have figured prominently in historic documents, film and television, opera, ballet, art, literature, and games. Tracing the development of these concepts from the Middle Ages to the modern day, the course explores ways in which music affects perceptions of monsters and bards, complicating their place in the worlds they inhabit, real and imagined. Topics include approaches to violence, crusading, barbarians, otherness, macabre and gothic aesthetics, orientalism, colonialism, romantic love, chivalry, and religious spirituality."
MUSI 225,HISTORY OF ROCK,Distribution Group I,,3,"Since its inception in the 1950s, rock & roll has been one of the most popular, influential, and controversial musical styles. Emerging from earlier African American musical traditions, it has since evolved into a diverse and powerful force that has continuously challenged societal norms, pushed musical boundaries, and reflected the rebellious spirit of multiple generations. This course offers a comprehensive survey of rock music, tracing its roots and exploring its diverse offshoots, including psychedelic rock, classic rock, progressive rock, punk, heavy metal, grunge, alternative, indie, and more. Alongside detailed examinations of rock's stylistic and practical elements, this course will engage with broader cultural and historical questions, such as rock's role in social change, its impact on youth culture, and its responses to technological innovations in music production and distribution."
MUSI 226,MUSIC IN GLOBAL PERSPECTIVE,Distribution Group I,,3,"This course will introduce students to the diversity of musical traditions around the world, focusing on both traditional and popular music styles from Africa, Asia, Europe, and the Americas. Students will also be exposed to new ways for thinking about music, not only as a form of art, but also as a dynamic component of global history and cultural exchange that leads to new, hybrid formations. By examining how music reflects and shapes societal changes, students will better understand the interconnectedness of music and its environment. In addition to exploring musical traditions, students will be introduced to the methodologies of ethnomusicological research—the study of music in its cultural and social contexts. Ethnomusicology emphasizes the role of music within human life, examining how music functions in ritual, identity, politics, and community. Students will develop their critical listening skills and learn how to analyze and contextualize the music they hear within diverse cultural frameworks, gaining insights into how music both reflects and transforms cultural identity across the globe."
MUSI 240,UNITY AND VARIETY IN MUSIC,Distribution Group I,,3,"In music, as in life, we need unity and variety: expectations met and occasional surprises. Through studying folk, pop, and art songs, piano solos, instrumental sonatas, chamber and orchestral music, this course helps students become more perceptive listeners by investigating how composers manipulate musical elements to balance unity and variety. Must be able to read music."
MUSI 314,MUSIC IN WESTERN CULTURE,Distribution Group I,,3,A survey of the history of Western music.
MUSI 317,THEORY FOR NON MAJORS I,Distribution Group I,,3,"Study of harmony, melody, rhythm, and form."
MUSI 318,THEORY FOR NON-MAJORS II,Distribution Group I,,3,Continuation of MUSI 317.
MUSI 321,BAROQUE & EARLY CLASSICAL ERAS,Distribution Group I,,3,Advanced historical studies in music of the seventeenth and eighteenth centuries. Score reading ability required.
MUSI 322,CLASSICAL AND ROMANTIC ERAS,Distribution Group I,,3,Advanced historical studies in the music of the eighteenth and nineteenth centuries. Score reading ability required.
MUSI 326,JAZZ HISTORY AND RACE,Distribution Group I,Analyzing Diversity Course,3,"This course will focus on the complex relationship between jazz and race. Throughout jazz history race has affected the careers of musicians, and influenced the stylistic evolution of the music. Jazz, in turn, has had an impact on racial politics, especially as the civil rights movement gained steam."
MUSI 374,ACCESSIBLE SOUNDS,Distribution Group I,Analyzing Diversity Course,3,"This course addresses the facets of diversity and inclusion in the realm of classical music. Each segment of the curriculum is dedicated to an examination of Diversity, Equity, and Inclusion (DEI), encompassing dimensions such as ethnicity, gender, and socioeconomic status. The methodology is analytical, supported by theoretical underpinnings, and illustrated with pertinent case studies. Key theoretical frameworks such as social constructionism, intersectional feminism, and the capability approach will be addressed. Through a series of case studies, students will examine pieces of music by marginalized composers, and films and scholarly works highlighting DEI issues. In addition, they will analyze policies and institutional approaches that have either hindered or fostered diversity and inclusion within the field. Additionally, the course offers opportunities for students to interact with guest scholars, accomplished musicians, and artists from the local community who work on promoting DEI initiatives. The objective of this course is to empower students with the necessary skills to analyze diversity and inclusion issues through the lens of art and music."
MUSI 378,CROSS-CULTURAL ASIAN MUSIC,Distribution Group I,,3,"This course will focus on traditional and contemporary art music from Asia. The classroom lectures are designed to introduce and accompany one or two events which will include live performances, workshops, lectures by invited performers and scholars. This course may be repeated since each year the countries and invited guest performers/scholars will represent different geographical areas."
MUSI 421,THE MODERN ERA,Distribution Group I,,3,Advanced historical studies in music of the twentieth and twenty-first centuries. Score reading ability required.
PHIL 100,INTRODUCTION TO PHILOSOPHY,Distribution Group I,,3,"An introduction to philosophy through a variety of philosophical topics (such as: morality, determinism, knowledge, consciousness), figures (such as: Plato, Aristotle, Descartes, Nietzsche), or some combination of these. Encounter some of the hardest, deepest thoughts developed over the last 2500 years!"
